date,location,severity,country
2014-08-01,Lagos,Moderate,Nigeria
2014-08-12,Rivers,Moderate,Nigeria
2014-08-15,Benue,Moderate,Nigeria
2014-08-19,Rivers,Moderate,Nigeria
2014-08-21,Lagos,Moderate,Nigeria
2014-08-28,Lagos,Moderate,Nigeria
2014-09-04,Rivers,Moderate,Nigeria
2014-09-15,Lagos,Moderate,Nigeria
2014-09-24,Lagos,Moderate,Nigeria
2014-10-19,Lagos,Moderate,Nigeria
2015-02-23,Lagos,Moderate,Nigeria
2015-03-17,Rivers,Moderate,Nigeria
2015-03-20,Benue,Moderate,Nigeria
2015-04-06,Lagos,Moderate,Nigeria
2015-05-05,Lagos,Moderate,Nigeria
2015-05-19,Rivers,Moderate,Nigeria
2015-05-24,Rivers,High,Nigeria
2015-05-25,Lagos,Moderate,Nigeria
2015-06-02,Lagos,Moderate,Nigeria
2015-06-09,Lagos,High,Nigeria
2015-06-19,Lagos,Moderate,Nigeria
2015-07-02,Lagos,Moderate,Nigeria
2015-07-13,Lagos,Moderate,Nigeria
2015-08-06,Benue,Moderate,Nigeria
2015-08-10,Bayelsa,Moderate,Nigeria
2015-08-21,Lagos,High,Nigeria
2015-08-21,Benue,Moderate,Nigeria
2015-08-24,Rivers,Moderate,Nigeria
2015-09-01,Rivers,Moderate,Nigeria
2015-09-02,Lagos,Moderate,Nigeria
2015-09-06,Bayelsa,Moderate,Nigeria
2015-10-20,Rivers,High,Nigeria
2015-12-30,Rivers,Moderate,Nigeria
2016-01-16,Rivers,Moderate,Nigeria
2016-01-19,Lagos,Moderate,Nigeria
2016-02-25,Rivers,Moderate,Nigeria
2016-03-05,Lagos,Moderate,Nigeria
2016-03-08,Lagos,Moderate,Nigeria
2016-03-09,Rivers,High,Nigeria
2016-03-21,Lagos,Moderate,Nigeria
2016-03-28,Rivers,Moderate,Nigeria
2016-04-28,Lagos,Moderate,Nigeria
2016-05-21,Lagos,Moderate,Nigeria
2016-06-02,Rivers,High,Nigeria
2016-06-06,Lagos,High,Nigeria
2016-06-29,Rivers,Moderate,Nigeria
2016-07-02,Lagos,Moderate,Nigeria
2016-07-11,Benue,Moderate,Nigeria
2016-07-24,Lagos,Moderate,Nigeria
2016-07-25,Rivers,Moderate,Nigeria
2016-08-05,Lagos,Moderate,Nigeria
2016-08-08,Rivers,Moderate,Nigeria
2016-08-15,Rivers,Moderate,Nigeria
2016-08-20,Rivers,Moderate,Nigeria
2016-08-26,Rivers,Moderate,Nigeria
2016-08-27,Lagos,Moderate,Nigeria
2016-09-05,Lagos,Moderate,Nigeria
2016-09-10,Benue,Moderate,Nigeria
2016-09-13,Rivers,High,Nigeria
2016-09-14,Lagos,Moderate,Nigeria
2016-09-20,Lagos,Moderate,Nigeria
2016-09-24,Bayelsa,Moderate,Nigeria
2016-09-27,Rivers,High,Nigeria
2016-10-03,Lagos,High,Nigeria
2016-10-09,Rivers,High,Nigeria
2016-10-13,Lagos,High,Nigeria
2016-11-03,Lagos,Moderate,Nigeria
2016-11-28,Rivers,Moderate,Nigeria
2016-11-28,Lagos,Moderate,Nigeria
